vendor_id,account_number,ifsc,status,added_on,added_via,verified_by,verified_on,settled_payout_count,last_settled_on,is_primary
VEND0000,589685962440,HDFC0495279,active,2022-10-16,onboarding,onboarding_kyc,2022-10-16,39,2026-06-22,True
VEND0000,761386113205,UTIB0242857,active,2024-03-18,email_request,penny_drop,2024-03-19,5,2026-01-30,False
VEND0001,133903731452,SBIN0242325,active,2024-05-26,onboarding,onboarding_kyc,2024-05-26,47,2026-05-19,True
VEND0002,172729785607,SBIN0183403,active,2026-06-13,onboarding,onboarding_kyc,2026-06-13,0,,True
VEND0003,402305718503,UTIB0110379,active,2023-09-21,onboarding,onboarding_kyc,2023-09-21,89,2026-06-12,True
VEND0004,664228897201,KKBK0814660,active,2024-11-26,onboarding,onboarding_kyc,2024-11-26,44,2026-05-27,True
VEND0004,496643077387,HDFC0980128,active,2024-08-29,portal,callback,2024-08-29,16,2026-05-20,False
VEND0004,083216115014,KKBK0705577,dormant,2025-07-10,portal,penny_drop,2025-07-10,3,2025-11-20,False
VEND0004,237977812271,KKBK0205993,active,2024-07-06,portal,onboarding_kyc,2024-07-06,8,2026-06-12,False
VEND0005,291539687324,PUNB0310358,active,2022-05-14,onboarding,onboarding_kyc,2022-05-14,82,2026-06-15,True
VEND0005,645517806072,KKBK0886548,active,2024-04-22,email_request,callback,2024-04-25,1,2026-05-06,False
VEND0005,717562980502,HDFC0826470,dormant,2023-08-31,portal,penny_drop,2023-08-31,2,2026-02-22,False
VEND0006,713910459321,UTIB0967601,active,2022-08-26,onboarding,onboarding_kyc,2022-08-26,88,2026-06-05,True
VEND0006,228819923322,ICIC0654001,active,2023-11-30,email_request,penny_drop,2023-12-02,15,2025-12-31,False
VEND0007,636016085654,HDFC0646713,active,2025-02-26,onboarding,onboarding_kyc,2025-02-26,7,2026-06-19,True
VEND0007,034366679529,KKBK0108958,active,2023-11-14,portal,onboarding_kyc,2023-11-14,23,2026-04-25,False
VEND0008,315690073409,KKBK0265482,active,2022-05-31,onboarding,onboarding_kyc,2022-05-31,24,2026-06-20,True
VEND0009,389749432707,AXIS0507186,active,2024-02-27,onboarding,onboarding_kyc,2024-02-27,73,2026-06-12,True
VEND0009,869882785401,UTIB0006409,active,2024-03-15,email_request,penny_drop,2024-03-18,18,2026-02-12,False
VEND0009,237977812271,KKBK0205993,active,2025-11-10,portal,onboarding_kyc,2025-11-10,28,2026-04-30,False
VEND0010,372098063583,AXIS0466220,active,2025-05-12,onboarding,onboarding_kyc,2025-05-12,51,2026-06-23,True
VEND0011,180264782371,ICIC0038959,active,2022-06-10,onboarding,onboarding_kyc,2022-06-10,39,2026-06-27,True
VEND0011,531247962583,ICIC0256284,active,2025-02-25,email_request,callback,2025-02-27,20,2026-05-22,False
VEND0012,982221381092,KKBK0290350,active,2024-04-02,onboarding,onboarding_kyc,2024-04-02,68,2026-06-04,True
VEND0012,901015188567,AXIS0154314,active,2024-03-21,phone_request,penny_drop,2024-03-23,3,2026-03-12,False
VEND0012,611175436038,SBIN0535762,active,2024-05-30,portal,penny_drop,2024-05-30,5,2025-08-10,False
VEND0012,839487028210,SBIN0753798,active,2024-08-22,portal,onboarding_kyc,2024-08-22,9,2026-05-19,False
VEND0013,640978764962,KKBK0673691,active,2024-01-17,onboarding,onboarding_kyc,2024-01-17,83,2026-05-24,True
VEND0014,797866032764,AXIS0737407,active,2023-02-13,onboarding,onboarding_kyc,2023-02-13,28,2026-05-18,True
VEND0014,245062334851,SBIN0820550,active,2025-10-26,portal,onboarding_kyc,2025-10-26,2,2026-04-20,False
VEND0015,059486762233,UTIB0988509,active,2023-02-16,onboarding,onboarding_kyc,2023-02-16,15,2026-06-02,True
VEND0016,586415925170,SBIN0941041,active,2024-08-26,onboarding,onboarding_kyc,2024-08-26,76,2026-05-21,True
VEND0016,426974303328,KKBK0092227,active,2024-01-08,email_request,penny_drop,2024-01-12,1,2026-01-09,False
VEND0017,119462989484,KKBK0471406,active,2026-05-28,onboarding,onboarding_kyc,2026-05-28,0,,True
VEND0018,683218036829,UTIB0792076,active,2025-03-07,onboarding,onboarding_kyc,2025-03-07,85,2026-06-08,True
VEND0018,557428973372,SBIN0210391,active,2025-05-20,email_request,callback,2025-05-24,2,2026-01-01,False
VEND0018,827464988467,HDFC0124005,active,2023-10-19,portal,penny_drop,2023-10-19,4,2025-10-06,False
VEND0019,418457912305,SBIN0855239,active,2024-07-09,onboarding,onboarding_kyc,2024-07-09,7,2026-05-27,True
VEND0019,027636919842,PUNB0159675,active,2025-10-02,portal,penny_drop,2025-10-02,8,2026-01-23,False
VEND0019,705388589444,HDFC0554762,active,2023-09-24,portal,penny_drop,2023-09-24,3,2025-12-22,False
VEND0020,658248438234,HDFC0598660,active,2024-02-04,onboarding,onboarding_kyc,2024-02-04,34,2026-06-23,True
VEND0020,464800341024,PUNB0656405,active,2025-11-09,portal,callback,2025-11-09,6,2026-01-06,False
VEND0021,053000341537,UTIB0975571,active,2023-02-19,onboarding,onboarding_kyc,2023-02-19,19,2026-06-01,True
VEND0022,842365343845,ICIC0334083,active,2024-09-10,onboarding,onboarding_kyc,2024-09-10,76,2026-06-23,True
VEND0022,796998926610,ICIC0378727,active,2025-07-27,portal,callback,2025-07-31,7,2026-03-30,False
VEND0022,179429874179,KKBK0884415,active,2025-09-29,portal,penny_drop,2025-09-29,5,2026-02-02,False
VEND0023,383292894126,SBIN0190489,active,2023-05-07,onboarding,onboarding_kyc,2023-05-07,53,2026-06-02,True
VEND0023,917988057585,SBIN0327778,active,2025-03-06,phone_request,penny_drop,2025-03-08,12,2026-01-13,False
VEND0024,738307220285,HDFC0773919,active,2023-10-03,onboarding,onboarding_kyc,2023-10-03,48,2026-06-04,True
VEND0024,507427044637,PUNB0901050,active,2025-03-22,portal,penny_drop,2025-03-24,9,2026-02-20,False
VEND0024,954886150298,KKBK0998458,active,2023-09-16,portal,penny_drop,2023-09-16,3,2025-10-24,False
VEND0025,708751170737,KKBK0927064,active,2024-05-17,onboarding,onboarding_kyc,2024-05-17,52,2026-06-10,True
VEND0025,888492760689,UTIB0964129,active,2025-11-21,phone_request,callback,2025-11-22,12,2025-12-30,False
VEND0025,676911680261,AXIS0756234,active,2024-04-27,portal,onboarding_kyc,2024-04-27,14,2026-06-23,False
VEND0026,056572273013,PUNB0633073,active,2023-03-29,onboarding,onboarding_kyc,2023-03-29,25,2026-05-28,True
VEND0026,303861307609,HDFC0837952,active,2023-10-05,email_request,callback,2023-10-05,14,2026-04-02,False
VEND0027,380966928146,UTIB0177843,active,2024-12-13,onboarding,onboarding_kyc,2024-12-13,75,2026-06-04,True
VEND0028,541256972209,AXIS0635575,active,2026-05-19,onboarding,onboarding_kyc,2026-05-19,0,,True
VEND0029,003069475224,SBIN0157205,active,2024-06-12,onboarding,onboarding_kyc,2024-06-12,90,2026-05-30,True
VEND0030,277817877319,HDFC0459310,active,2024-03-27,onboarding,onboarding_kyc,2024-03-27,82,2026-06-24,True
VEND0030,416961125393,SBIN0980865,active,2023-10-27,portal,onboarding_kyc,2023-10-27,4,2026-04-08,False
VEND0031,811354921137,PUNB0475600,active,2026-05-02,onboarding,onboarding_kyc,2026-05-02,0,,True
VEND0032,851792764164,UTIB0380592,active,2022-07-27,onboarding,onboarding_kyc,2022-07-27,16,2026-06-10,True
VEND0032,776249301744,AXIS0161182,active,2024-09-27,phone_request,penny_drop,2024-09-30,1,2026-04-25,False
VEND0032,688943117161,SBIN0658927,active,2025-06-16,portal,penny_drop,2025-06-16,2,2025-11-07,False
VEND0033,583396883087,HDFC0316261,active,2025-04-23,onboarding,onboarding_kyc,2025-04-23,60,2026-06-19,True
VEND0034,184453113724,AXIS0865318,active,2022-05-07,onboarding,onboarding_kyc,2022-05-07,31,2026-06-01,True
VEND0034,282251110178,UTIB0948145,active,2024-09-30,phone_request,callback,2024-09-30,10,2026-05-01,False
VEND0034,797297220779,UTIB0769473,active,2024-12-09,portal,onboarding_kyc,2024-12-09,5,2026-04-07,False
VEND0035,824950511746,UTIB0815275,active,2026-05-28,onboarding,onboarding_kyc,2026-05-28,0,,True
VEND0036,162599984852,ICIC0207105,active,2023-02-04,onboarding,onboarding_kyc,2023-02-04,47,2026-05-22,True
VEND0037,108583573926,HDFC0414521,active,2024-02-23,onboarding,onboarding_kyc,2024-02-23,63,2026-05-16,True
VEND0038,262698646242,UTIB0630129,active,2025-03-27,onboarding,onboarding_kyc,2025-03-27,21,2026-05-18,True
